,ITA_0,ITA_1,ITA_2,ITA_3,ITA_4,ITA_5,ITA_6,ITA_7,ITA_8,ITA_9,ITA_10,ITA_11,ITA_12
PUR_0,0.00029653752976754443,0.001445620457616779,0.0035236998654408986,0.00572601228134146,0.006978577467884904,0.006804113031187782,0.005528341837840073,0.0038500952084957654,0.0023461517676771067,0.0012708322074917661,0.000619530701152236,0.00027456474255610464,0.00011154192666341749
PUR_1,0.0009637469717445194,0.004698266487254532,0.011452024562682921,0.018609539914359745,0.02268037677062594,0.022113367351360293,0.017967110972980243,0.012512809427611238,0.007624993244950597,0.004130204674348241,0.0020134747787447674,0.00089233541330734,0.00036251126165610687
PUR_2,0.001566088829084844,0.007634683041788613,0.018609539914359745,0.030240502360834583,0.03685561225226715,0.03593422194596047,0.029196555331092888,0.020333315319868258,0.012390614023044718,0.0067115825958158895,0.0032718965154602464,0.0014500450466244275,0.0005890808001911736
PUR_3,0.0016965962315085808,0.008270906628604332,0.020160334907223056,0.03276054422423747,0.03992691327328941,0.03892874044145717,0.03162960160868396,0.022027758263190617,0.013423165191631779,0.007270881145467214,0.003544554558415267,0.0015708821338431297,0.0006381708668737714
PUR_4,0.0013784844381007218,0.006720111635741019,0.016380272112118732,0.02661794218219294,0.03244061703454764,0.03162960160868395,0.025699051307055718,0.017897553588842374,0.01090632171820082,0.005907590930692111,0.0028799505787124044,0.0012763417337475428,0.0005185138293349392
PUR_5,0.0008960148847654692,0.0043680725632316625,0.010647176872877176,0.01730166241842541,0.021086401072455973,0.020559241045644574,0.016704383349586217,0.011633409832747544,0.007089109116830533,0.0038399341049498723,0.0018719678761630629,0.000829622126935903,0.00033703398906771053
PUR_6,0.0004853413959146291,0.002366039305083817,0.005767220806141804,0.00937173380998043,0.01142180058091365,0.011136255566390809,0.009048207647692534,0.006301430326071586,0.003839934104949872,0.002079964306847847,0.0010139825995883255,0.0004493786520902807,0.0001825600774116765
PUR_7,0.00022533707667464926,0.001098518248788915,0.00267763823142298,0.004351162126062343,0.005302978841138481,0.005170404370110018,0.00420095355071439,0.002925664079961808,0.0017828265487267263,0.0009656977138936434,0.0004707776355231512,0.00020864008847048748,8.476003594113553e-05
PUR_8,9.154318739907627e-05,0.0004462730385704968,0.0010877905315155858,0.0017676596137128269,0.0021543351542125076,0.002100476775357195,0.0017066373799777212,0.0011885510324844844,0.0007242732854202326,0.00039231469626929265,0.00019125341443128018,8.476003594113553e-05,3.443376460108631e-05
PUR_9,3.305726211633309e-05,0.00016115415281712386,0.00039281324749173934,0.0006383215271740765,0.0007779543612434057,0.0007585055022123206,0.0006162857205475105,0.00042919898395273054,0.0002615431308461952,0.00014166919587502237,6.906373298907341e-05,3.0607790756521176e-05,1.2434414994836726e-05
PUR_10,1.0743610187808257e-05,5.2375099665565256e-05,0.00012766430543481531,0.00020745449633157483,0.0002528351674041068,0.0002465142882190042,0.00020029285917794092,0.0001394896697846374,8.500151752501343e-05,4.604248865938227e-05,2.2445713221448856e-05,9.947531995869381e-06,4.041184873321935e-06
PUR_11,3.174248464579712e-06,1.5474461264826097e-05,3.771899933301361e-05,6.12933739161471e-05,7.47012994603043e-05,7.283376697379669e-05,5.917743566620982e-05,4.121285698182469e-05,2.5114084723299418e-05,1.3603462558453852e-05,6.631687997246253e-06,2.9390435442341353e-06,1.1939864398451171e-06
PUR_12,8.596922924903386e-07,4.190999925890401e-06,1.0215562319357852e-05,1.6600288768956508e-05,2.0231601937165744e-05,1.97258118887366e-05,1.602722215959849e-05,1.116181543257752e-05,6.801731279226925e-06,3.684271109581251e-06,1.79608216592086e-06,7.959909598967449e-07,3.2337132745805256e-07
