raw_team_name,normalized_team_name,inferred_team_code,inferred_team_name_en,source_count,evidence_sources,confidence,quality_flags
kt巫師,kt巫師,KT,KT Wiz,12,TSL_BLOB3RD,HIGH,RESOLVED
lg雙子,lg雙子,LGT,LG Twins,12,TSL_BLOB3RD,HIGH,RESOLVED
nc恐龍,nc恐龍,NCD,NC Dinos,12,TSL_BLOB3RD,HIGH,RESOLVED
ssg登陸者,ssg登陸者,SSG,SSG Landers,13,TSL_BLOB3RD,HIGH,RESOLVED
三星獅,三星獅,SAM,Samsung Lions,13,TSL_BLOB3RD,HIGH,RESOLVED
中信兄弟,中信兄弟,,,7,TSL_BLOB3RD,NONE,TEAM_CODE_MISSING
中日龍,中日龍,CNJ,Chunichi Dragons,11,TSL_BLOB3RD,HIGH,RESOLVED
亞歷桑那響尾蛇,亞歷桑那響尾蛇,ARI,Arizona Diamondbacks,15,TSL_BLOB3RD|tsl_crawler_v2,HIGH,RESOLVED
亞特蘭大勇士,亞特蘭大勇士,ATL,Atlanta Braves,18,TSL_BLOB3RD|tsl_crawler_v2,HIGH,RESOLVED
休士頓太空人,休士頓太空人,HOU,Houston Astros,16,TSL_BLOB3RD|tsl_crawler_v2,HIGH,RESOLVED
克里夫蘭守護者,克里夫蘭守護者,CLE,Cleveland Guardians,14,TSL_BLOB3RD,HIGH,RESOLVED
加拿大,加拿大,CAN,Canada,1,TSL_BLOB3RD,HIGH,RESOLVED
匹茲堡海盜,匹茲堡海盜,PIT,Pittsburgh Pirates,19,TSL_BLOB3RD|tsl_crawler_v2,HIGH,RESOLVED
南韓,南韓,KOR,Korea,1,TSL_BLOB3RD,HIGH,RESOLVED
台鋼雄鷹,台鋼雄鷹,,,11,TSL_BLOB3RD|tsl_crawler_v2,NONE,TEAM_CODE_MISSING
味全龍,味全龍,,,9,TSL_BLOB3RD,NONE,TEAM_CODE_MISSING
坦帕灣光芒,坦帕灣光芒,TBR,Tampa Bay Rays,18,TSL_BLOB3RD|tsl_crawler_v2,HIGH,RESOLVED
培證英雄,培證英雄,KWH,Kiwoom Heroes,13,TSL_BLOB3RD,HIGH,RESOLVED
堪薩斯皇家,堪薩斯皇家,KCR,Kansas City Royals,16,TSL_BLOB3RD|tsl_crawler_v2,HIGH,RESOLVED
