"game_id","game_date","season","away_team","home_team","source_name","source_row_number","away_score","home_score","y_true_home_win"
"SDN-20240320-0","2024-03-20",2024,"LAN","SDN","Retrosheet",1,5,2,0
"LAN-20240321-0","2024-03-21",2024,"SDN","LAN","Retrosheet",2,15,11,0
"ARI-20240328-0","2024-03-28",2024,"COL","ARI","Retrosheet",3,1,16,1
"CIN-20240328-0","2024-03-28",2024,"WAS","CIN","Retrosheet",4,2,8,1
"LAN-20240328-0","2024-03-28",2024,"SLN","LAN","Retrosheet",5,1,7,1
"MIA-20240328-0","2024-03-28",2024,"PIT","MIA","Retrosheet",6,6,5,0
"SDN-20240328-0","2024-03-28",2024,"SFN","SDN","Retrosheet",7,4,6,1
"BAL-20240328-0","2024-03-28",2024,"ANA","BAL","Retrosheet",8,3,11,1
"CHA-20240328-0","2024-03-28",2024,"DET","CHA","Retrosheet",9,1,0,0
"HOU-20240328-0","2024-03-28",2024,"NYA","HOU","Retrosheet",10,5,4,0
"KCA-20240328-0","2024-03-28",2024,"MIN","KCA","Retrosheet",11,4,1,0
"OAK-20240328-0","2024-03-28",2024,"CLE","OAK","Retrosheet",12,8,0,0
"SEA-20240328-0","2024-03-28",2024,"BOS","SEA","Retrosheet",13,6,4,0
"TBA-20240328-0","2024-03-28",2024,"TOR","TBA","Retrosheet",14,8,2,0
"TEX-20240328-0","2024-03-28",2024,"CHN","TEX","Retrosheet",15,3,4,1
"ARI-20240329-0","2024-03-29",2024,"COL","ARI","Retrosheet",16,3,7,1
"LAN-20240329-0","2024-03-29",2024,"SLN","LAN","Retrosheet",17,3,6,1
"MIA-20240329-0","2024-03-29",2024,"PIT","MIA","Retrosheet",18,7,2,0
"NYN-20240329-0","2024-03-29",2024,"MIL","NYN","Retrosheet",19,3,1,0
"PHI-20240329-0","2024-03-29",2024,"ATL","PHI","Retrosheet",20,9,3,0
"SDN-20240329-0","2024-03-29",2024,"SFN","SDN","Retrosheet",21,8,3,0
"HOU-20240329-0","2024-03-29",2024,"NYA","HOU","Retrosheet",22,7,1,0
"OAK-20240329-0","2024-03-29",2024,"CLE","OAK","Retrosheet",23,6,4,0
"SEA-20240329-0","2024-03-29",2024,"BOS","SEA","Retrosheet",24,0,1,1
"TBA-20240329-0","2024-03-29",2024,"TOR","TBA","Retrosheet",25,2,8,1
"ARI-20240330-0","2024-03-30",2024,"COL","ARI","Retrosheet",26,9,4,0
"CIN-20240330-0","2024-03-30",2024,"WAS","CIN","Retrosheet",27,7,6,0
