"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"SDN-20240320-0","2024-03-20",2024,"LAN","SDN",5,2,0,"Retrosheet",1
"LAN-20240321-0","2024-03-21",2024,"SDN","LAN",15,11,0,"Retrosheet",2
"ARI-20240328-0","2024-03-28",2024,"COL","ARI",1,16,1,"Retrosheet",3
"CIN-20240328-0","2024-03-28",2024,"WAS","CIN",2,8,1,"Retrosheet",4
"LAN-20240328-0","2024-03-28",2024,"SLN","LAN",1,7,1,"Retrosheet",5
"MIA-20240328-0","2024-03-28",2024,"PIT","MIA",6,5,0,"Retrosheet",6
"SDN-20240328-0","2024-03-28",2024,"SFN","SDN",4,6,1,"Retrosheet",7
"BAL-20240328-0","2024-03-28",2024,"ANA","BAL",3,11,1,"Retrosheet",8
"CHA-20240328-0","2024-03-28",2024,"DET","CHA",1,0,0,"Retrosheet",9
"HOU-20240328-0","2024-03-28",2024,"NYA","HOU",5,4,0,"Retrosheet",10
"KCA-20240328-0","2024-03-28",2024,"MIN","KCA",4,1,0,"Retrosheet",11
"OAK-20240328-0","2024-03-28",2024,"CLE","OAK",8,0,0,"Retrosheet",12
"SEA-20240328-0","2024-03-28",2024,"BOS","SEA",6,4,0,"Retrosheet",13
"TBA-20240328-0","2024-03-28",2024,"TOR","TBA",8,2,0,"Retrosheet",14
"TEX-20240328-0","2024-03-28",2024,"CHN","TEX",3,4,1,"Retrosheet",15
"ARI-20240329-0","2024-03-29",2024,"COL","ARI",3,7,1,"Retrosheet",16
"LAN-20240329-0","2024-03-29",2024,"SLN","LAN",3,6,1,"Retrosheet",17
"MIA-20240329-0","2024-03-29",2024,"PIT","MIA",7,2,0,"Retrosheet",18
"NYN-20240329-0","2024-03-29",2024,"MIL","NYN",3,1,0,"Retrosheet",19
"PHI-20240329-0","2024-03-29",2024,"ATL","PHI",9,3,0,"Retrosheet",20
"SDN-20240329-0","2024-03-29",2024,"SFN","SDN",8,3,0,"Retrosheet",21
"HOU-20240329-0","2024-03-29",2024,"NYA","HOU",7,1,0,"Retrosheet",22
"OAK-20240329-0","2024-03-29",2024,"CLE","OAK",6,4,0,"Retrosheet",23
"SEA-20240329-0","2024-03-29",2024,"BOS","SEA",0,1,1,"Retrosheet",24
"TBA-20240329-0","2024-03-29",2024,"TOR","TBA",2,8,1,"Retrosheet",25
"ARI-20240330-0","2024-03-30",2024,"COL","ARI",9,4,0,"Retrosheet",26
"CIN-20240330-0","2024-03-30",2024,"WAS","CIN",7,6,0,"Retrosheet",27
"LAN-20240330-0","2024-03-30",2024,"SLN","LAN",6,5,0,"Retrosheet",28
"MIA-20240330-0","2024-03-30",2024,"PIT","MIA",9,3,0,"Retrosheet",29
"NYN-20240330-0","2024-03-30",2024,"MIL","NYN",7,6,0,"Retrosheet",30
"PHI-20240330-0","2024-03-30",2024,"ATL","PHI",12,4,0,"Retrosheet",31
"SDN-20240330-0","2024-03-30",2024,"SFN","SDN",9,6,0,"Retrosheet",32
"BAL-20240330-0","2024-03-30",2024,"ANA","BAL",4,13,1,"Retrosheet",33
"CHA-20240330-0","2024-03-30",2024,"DET","CHA",7,6,0,"Retrosheet",34
"HOU-20240330-0","2024-03-30",2024,"NYA","HOU",5,3,0,"Retrosheet",35
"KCA-20240330-0","2024-03-30",2024,"MIN","KCA",5,1,0,"Retrosheet",36
"OAK-20240330-0","2024-03-30",2024,"CLE","OAK",12,3,0,"Retrosheet",37
"SEA-20240330-0","2024-03-30",2024,"BOS","SEA",3,4,1,"Retrosheet",38
"TBA-20240330-0","2024-03-30",2024,"TOR","TBA",1,5,1,"Retrosheet",39
