date,away_team,home_team,away_score,home_score,away_starter,home_starter,home_win,source_file,source_type,is_verified_real
2024-03-20,Los Angeles Dodgers,San Diego Padres,5,2,Tyler Glasnow,Yu Darvish,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-21,San Diego Padres,Los Angeles Dodgers,15,11,Joe Musgrove,Yoshinobu Yamamoto,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Colorado Rockies,Arizona Diamondbacks,1,16,Kyle Freeland,Zac Gallen,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Washington Nationals,Cincinnati Reds,2,8,Josiah Gray,Frankie Montas,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,St. Louis Cardinals,Los Angeles Dodgers,1,7,Miles Mikolas,Tyler Glasnow,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Pittsburgh Pirates,Miami Marlins,6,5,Mitch Keller,Jesus Luzardo,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,San Francisco Giants,San Diego Padres,4,6,Logan Webb,Yu Darvish,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Los Angeles Angels,Baltimore Orioles,3,11,Patrick Sandoval,Corbin Burnes,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Detroit Tigers,Chicago White Sox,1,0,Tarik Skubal,Garrett Crochet,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,New York Yankees,Houston Astros,5,4,Nestor Cortes,Framber Valdez,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Minnesota Twins,Kansas City Royals,4,1,Pablo Lopez,Cole Ragans,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Cleveland Guardians,Athletics,8,0,Shane Bieber,Alex Wood,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Boston Red Sox,Seattle Mariners,6,4,Brayan Bello,Luis Castillo,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Toronto Blue Jays,Tampa Bay Rays,8,2,Jose Berrios,Zach Eflin,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-28,Chicago Cubs,Texas Rangers,3,4,Justin Steele,Nathan Eovaldi,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-29,Colorado Rockies,Arizona Diamondbacks,3,7,Cal Quantrill,Merrill Kelly,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-29,St. Louis Cardinals,Los Angeles Dodgers,3,6,Zack Thompson,Bobby Miller,1.0,gl2024.txt,retrosheet_gamelog,True
2024-03-29,Pittsburgh Pirates,Miami Marlins,7,2,Martin Perez,A.J. Puk,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-29,Milwaukee Brewers,New York Mets,3,1,Freddy Peralta,Jose Quintana,0.0,gl2024.txt,retrosheet_gamelog,True
2024-03-29,Atlanta Braves,Philadelphia Phillies,9,3,Spencer Strider,Zack Wheeler,0.0,gl2024.txt,retrosheet_gamelog,True
