Date,Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,O/U,Over,Under,Away ML,Home ML,Home RL Spread,RL Away,RL Home
2025-03-18,6:10 AM,Los Angeles Dodgers,4,Chicago Cubs,1,Final,Yoshinobu Yamamoto,Shota Imanaga,7.5,-115,-105,-150,+125,+1.5,+105,-125
2025-03-19,6:10 AM,Los Angeles Dodgers,6,Chicago Cubs,3,Final,Roki Sasaki,Justin Steele,7.5,-120,100,-150,+125,+1.5,+110,-130
2025-03-27,3:05 PM,Milwaukee Brewers,2,New York Yankees,4,Final,Freddy Peralta,Carlos Rodón,8.0,100,-120,+120,-140,-1.5,-170,+145
2025-03-27,3:07 PM,Baltimore Orioles,12,Toronto Blue Jays,2,Final,Zach Eflin,José Berríos,8.5,100,-120,+100,-120,+1.5,+155,-185
2025-03-27,4:05 PM,Boston Red Sox,5,Texas Rangers,2,Final,Garrett Crochet,Nathan Eovaldi,8.0,-110,-110,-125,+105,+1.5,+140,-165
2025-03-27,4:05 PM,Philadelphia Phillies,7,Washington Nationals,3,Final,Zack Wheeler,MacKenzie Gore,7.0,-125,105,-155,+130,+1.5,+110,-130
2025-03-27,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,8.5,-115,-105,+150,-180,-1.5,-150,+125
2025-03-27,4:10 PM,New York Mets,1,Houston Astros,3,Final,Clay Holmes,Framber Valdez,7.5,-120,100,-105,-115,-1.5,-210,+175
2025-03-27,4:10 PM,San Francisco Giants,6,Cincinnati Reds,4,Final,Logan Webb,Hunter Greene,7.5,-115,-105,-110,-110,-1.5,-230,+190
2025-03-27,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,7.0,105,-125,-125,+105,+1.5,+150,-180
2025-03-27,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,7.5,-115,-105,-160,+135,+1.5,+100,-120
2025-03-27,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,6.5,-115,-105,-150,+125,+1.5,+125,-150
2025-03-27,4:15 PM,Minnesota Twins,3,St. Louis Cardinals,5,Final,Pablo López,Sonny Gray,7.5,-105,-115,-115,-105,+1.5,+150,-180
2025-03-27,7:10 PM,Detroit Tigers,4,Los Angeles Dodgers,5,Final,Tarik Skubal,Blake Snell,6.5,-120,100,+140,-165,-1.5,-155,+130
2025-03-27,10:10 PM,Chicago Cubs,10,Arizona Diamondbacks,6,Final,Justin Steele,Zac Gallen,8.5,-105,-115,+105,-125,-1.5,-180,+150
2025-03-27,10:10 PM,Athletics,2,Seattle Mariners,4,Final,Luis Severino,Logan Gilbert,7.0,-105,-115,+145,-170,-1.5,-155,+130
2025-03-28,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,3,Final,Kyle Freeland,Ryan Pepiot,8.0,-105,-115,+180,-220,-1.5,-115,-105
2025-03-28,7:07 PM,Baltimore Orioles,2,Toronto Blue Jays,8,Final,Charlie Morton,Kevin Gausman,8.5,-115,-105,+105,-125,-1.5,-190,+160
2025-03-28,7:10 PM,Pittsburgh Pirates,4,Miami Marlins,3,Final,Mitch Keller,Connor Gillispie,8.0,-120,100,-135,+115,+1.5,+125,-150
2025-03-28,8:05 PM,Boston Red Sox,1,Texas Rangers,4,Final,Tanner Houck,Jack Leiter,9.0,-105,-115,-115,-105,+1.5,+145,-170
2025-03-28,8:10 PM,New York Mets,3,Houston Astros,1,Final,Tylor Megill,Hunter Brown,8.0,-120,100,-105,-115,-1.5,-200,+165
2025-03-28,9:40 PM,Chicago Cubs,1,Arizona Diamondbacks,8,Final,Jameson Taillon,Merrill Kelly,9.0,-110,-110,+125,-150,-1.5,-165,+140
2025-03-28,9:40 PM,Athletics,7,Seattle Mariners,0,Final,Jeffrey Springs,Luis Castillo,7.0,-110,-110,+120,-140,-1.5,-180,+150
2025-03-28,9:40 PM,Atlanta Braves,3,San Diego Padres,4,Final,Reynaldo López,Dylan Cease,7.0,-120,100,+115,-135,-1.5,-190,+160
2025-03-28,10:10 PM,Detroit Tigers,5,Los Angeles Dodgers,8,Final,Jack Flaherty,Yoshinobu Yamamoto,7.0,-125,105,+180,-220,-1.5,-115,-105
2025-03-29,1:05 PM,Milwaukee Brewers,9,New York Yankees,20,Final,Nestor Cortes,Max Fried,9.0,-110,-110,+140,-165,-1.5,-150,+125
2025-03-29,2:10 PM,Los Angeles Angels,1,Chicago White Sox,0,Final,José Soriano,Jonathan Cannon,8.0,-115,-105,-165,+140,+1.5,+100,-120
2025-03-29,2:15 PM,Minnesota Twins,1,St. Louis Cardinals,5,Final,Joe Ryan,Erick Fedde,7.5,-115,-105,-110,-110,+1.5,+150,-180
2025-03-29,3:07 PM,Baltimore Orioles,9,Toronto Blue Jays,5,Final,Dean Kremer,Max Scherzer,8.5,-115,-105,+100,-120,-1.5,-200,+165
2025-03-29,4:05 PM,Philadelphia Phillies,11,Washington Nationals,6,Final,Jesús Luzardo,Jake Irvin,9.0,-105,-115,-155,+130,+1.5,+110,-130
2025-03-29,4:10 PM,Cleveland Guardians,3,Kansas City Royals,4,Final,Gavin Williams,Seth Lugo,8.5,-125,105,-105,-115,-1.5,-210,+175
2025-03-29,4:10 PM,San Francisco Giants,2,Cincinnati Reds,3,Final,Justin Verlander,Nick Lodolo,8.5,-115,-105,+100,-120,-1.5,-200,+165
2025-03-29,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,1,Final,Antonio Senzatela,Zack Littell,8.5,100,-120,+155,-185,-1.5,-130,+110
2025-03-29,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Bailey Falter,Valente Bellozo,8.5,-120,100,-120,+100,+1.5,+135,-160
2025-03-29,7:05 PM,Boston Red Sox,3,Texas Rangers,4,Final,Walker Buehler,Tyler Mahle,9.0,-105,-115,-105,-115,-1.5,-205,+170
2025-03-29,7:15 PM,New York Mets,1,Houston Astros,2,Final,Griffin Canning,Spencer Arrighetti,8.5,-120,100,+100,-120,-1.5,-200,+165
2025-03-29,7:15 PM,Atlanta Braves,0,San Diego Padres,1,Final,Spencer Schwellenbach,Randy Vásquez,8.0,-105,-115,-155,+130,+1.5,+110,-130
2025-03-29,8:10 PM,Chicago Cubs,4,Arizona Diamondbacks,3,Final,Shota Imanaga,Brandon Pfaadt,9.0,-105,-115,+100,-120,-1.5,-200,+165
