path,source_class,has_game_date,has_scores,has_odds,has_derived_signals,missing_canonical_columns,year_coverage,notes
data/derived/future_model_predictions_dry_run_2026-04-29.jsonl,DERIVED_OUTPUT,False,False,False,True,,,Derived by path pattern or model-generated column signal.
data/derived/manifest_dry_run_summary_2026-04-29.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
data/derived/match_identity_bridge_2026-04-29.jsonl,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
data/derived/model_output_contract_validation_summary_2026-04-29.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
data/derived/odds_snapshots_2026-04-29.jsonl,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
data/derived/prediction_timestamp_evidence_summary_2026-04-29.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
data/derived/team_alias_map_2026-04-29.csv,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/learning_state.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
data/mlb_2025/mlb_odds_2025_real.csv,RAW_PRIMARY,True,True,True,False,,2025,"Raw primary source: game-date stamped, no model fields. Has closing odds."
data/p31_provenance_audit.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/p31_source_classification_audit.csv,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_2026_authoritative_snapshot.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_all_players_realtime.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/artifacts/improvement_log.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/artifacts/v3_research_cycle.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/calibration_compare.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/market_validation.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/model_artifacts.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-14_KOR_DOM_poisson_matrix.csv,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-14_KOR_DOM_poisson_summary.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-14_USA_CAN_poisson_matrix.csv,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-14_USA_CAN_poisson_summary.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-15_PUR_ITA_poisson_matrix.csv,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-15_PUR_ITA_poisson_summary.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-15_VEN_JPN_poisson_matrix.csv,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/2026-03-15_VEN_JPN_poisson_summary.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/market_support_performance_summary.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/reports/prediction_registry.jsonl,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
data/wbc_backend/tune_results_top10.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_backend/walkforward_summary.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_hitting_stats_2026.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_pitching_stats_2026.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
data/wbc_verified_overrides.json,SCHEMA_PARTIAL,False,False,False,False,game_date;home_team;away_team;scores,,Unrecognised structure; classified SCHEMA_PARTIAL by default.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p15_materialized/joined_oof_with_odds.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p15_materialized/p15_materialized_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p15_materialized/simulation_ledger.csv,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p16_6/gate_reason_counts.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p16_6/p16_6_policy_risk_profile.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p16_6/p18_policy_applied.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p16_6/recommendation_rows.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p16_6/recommendation_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p17_replay/ledger_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p17_replay/paper_recommendation_ledger.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p17_replay/paper_recommendation_ledger_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p17_replay/settlement_join_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p19/enriched_simulation_ledger.csv,DERIVED_OUTPUT,True,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p19/identity_enrichment_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p19/identity_field_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p19/p19_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p19/settlement_join_repair_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p20/artifact_manifest.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p20/daily_paper_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-01/p23_historical_replay/p20/p20_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p15_materialized/joined_oof_with_odds.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p15_materialized/p15_materialized_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p15_materialized/simulation_ledger.csv,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p16_6/gate_reason_counts.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p16_6/p16_6_policy_risk_profile.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p16_6/p18_policy_applied.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p16_6/recommendation_rows.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p16_6/recommendation_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p17_replay/ledger_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p17_replay/paper_recommendation_ledger.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p17_replay/paper_recommendation_ledger_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p17_replay/settlement_join_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p19/enriched_simulation_ledger.csv,DERIVED_OUTPUT,True,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p19/identity_enrichment_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p19/identity_field_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p19/p19_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p19/settlement_join_repair_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p20/artifact_manifest.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p20/daily_paper_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-02/p23_historical_replay/p20/p20_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p15_materialized/joined_oof_with_odds.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p15_materialized/p15_materialized_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p15_materialized/simulation_ledger.csv,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p16_6/gate_reason_counts.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p16_6/p16_6_policy_risk_profile.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p16_6/p18_policy_applied.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p16_6/recommendation_rows.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p16_6/recommendation_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p17_replay/ledger_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p17_replay/paper_recommendation_ledger.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p17_replay/paper_recommendation_ledger_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p17_replay/settlement_join_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p19/enriched_simulation_ledger.csv,DERIVED_OUTPUT,True,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p19/identity_enrichment_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p19/identity_field_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p19/p19_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p19/settlement_join_repair_audit.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p20/artifact_manifest.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p20/daily_paper_summary.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-03/p23_historical_replay/p20/p20_gate_result.json,DERIVED_OUTPUT,False,False,False,False,,,Derived by path pattern or model-generated column signal.
outputs/predictions/PAPER/2026-05-04/p23_historical_replay/p15_materialized/joined_oof_with_odds.csv,DERIVED_OUTPUT,True,False,False,True,,,Derived by path pattern or model-generated column signal.
