,DOM_0,DOM_1,DOM_2,DOM_3,DOM_4,DOM_5,DOM_6,DOM_7,DOM_8,DOM_9,DOM_10,DOM_11,DOM_12
KOR_0,9.50019034866665e-06,7.632756932209942e-05,0.00030662005837796497,0.0008211612224757503,0.0016493680082403425,0.002650310075193109,0.0035489065405542503,0.0040732929709865464,0.004090767397832078,0.0036518371466389126,0.002934002822398394,0.0021429743232774428,0.0014347784554162018
KOR_1,3.4178666664028835e-05,0.00027460234515214014,0.001103121556851371,0.0029542771955473695,0.005933902089432535,0.009534973647033918,0.01276783824530626,0.01465441402443271,0.014717281460597528,0.01313814986494532,0.010555610022292746,0.007709740792209733,0.005161877053472208
KOR_2,6.14819920473883e-05,0.0004939659983461727,0.001984340449916311,0.005314275387857204,0.010674147258542223,0.017151902960450188,0.022967312832200694,0.026360962976286668,0.026474051507454938,0.023633444611930586,0.018987865671452612,0.013868598992860469,0.00928539685502656
KOR_3,7.37308915192099e-05,0.0005923775763506184,0.00237967550461265,0.006373024833406501,0.012800730219883628,0.020569032564043084,0.027543031618323773,0.03161278997024729,0.03174840883921965,0.028341875122791016,0.02277076941365423,0.016631604374137313,0.011135302637934908
KOR_4,6.631508084547038e-05,0.0005327965803383796,0.0021403291106721245,0.005732029660151753,0.011513240134787607,0.01850021109594535,0.024772769335395947,0.028433193732394047,0.028555172133506015,0.025491265619518887,0.020480498519221294,0.014958807169359096,0.01001532030141043
KOR_5,4.7716118516163567e-05,0.00038336656531678324,0.0015400448315279688,0.004124404330280596,0.008284196049714998,0.013311576401229241,0.017824910751987354,0.020458719564701,0.020546487471633568,0.018341895024788328,0.014736465403555735,0.010763407156463265,0.007206388115442995
KOR_6,2.8611239168383995e-05,0.00022987185107533088,0.0009234320052657761,0.0024730494095156434,0.00496731758296493,0.007981803800633359,0.010688060985250767,0.012267328876431421,0.012319955717311312,0.010998051846523176,0.008836186791155807,0.006453886569083538,0.004321049161643271
KOR_7,1.4704878391023116e-05,0.00011814369855456483,0.00047460214008545557,0.0012710351553771259,0.0025529757923873873,0.004102284893658765,0.005493178261136749,0.006304850281002314,0.006331898088707814,0.005652499494674106,0.004541398974005005,0.0033170047822570813,0.0022208231551819765
KOR_8,6.612935088879545e-06,5.3130436643286694e-05,0.00021343346486594556,0.0005715975851472545,0.0011480994775750722,0.0018448397189341909,0.002470338775104558,0.0028353560325140074,0.0028475197098934923,0.0025419871728434972,0.0020423138382519965,0.0014916911742677073,0.0009987270196035439
KOR_9,2.6434710578123183e-06,2.123849238920266e-05,8.531842208620937e-05,0.00022849183497855783,0.0004589441299012316,0.0007374608003496125,0.0009874993429108167,0.0011334122458193188,0.0011382745843538835,0.0010161402509517878,0.0008163995941026966,0.0005962923260810162,0.0003992336134399358
KOR_10,9.510369035253654e-07,7.640934814731913e-06,3.069485770034845e-05,8.220410303968783e-05,0.00016511351728345618,0.0002653149668361635,0.00035527089072518754,0.00040776571753874124,0.0004095150324669824,0.0003655749795166805,0.00029371463694304566,0.00021452703471675004,0.00014363157046378994
KOR_11,3.110480576781831e-07,2.4990596307649803e-06,1.0039122386323847e-05,2.6885840590296463e-05,5.400236169285767e-05,8.677445091923203e-05,0.0001161956177515674,0.00013336468223053898,0.00013393681671730796,0.00011956569392091128,9.606290459826557e-05,7.0163646879267e-05,4.697643261625271e-05
KOR_12,9.325434096318158e-08,7.492352166873089e-07,3.0097977430675893e-06,8.060559401027598e-06,1.619027840171601e-05,2.6015575513694993e-05,3.4836243110198324e-05,3.9983646392161225e-05,4.01551762351836e-05,3.5846615058873355e-05,2.880031762998073e-05,2.1035542540082434e-05,1.408385667838626e-05
