,CAN_0,CAN_1,CAN_2,CAN_3,CAN_4,CAN_5,CAN_6,CAN_7,CAN_8,CAN_9,CAN_10,CAN_11,CAN_12
USA_0,6.027705637397635e-05,0.00025716487599445036,0.000548581644688552,0.000780152732043887,0.0008321071592648959,0.0007100172015660587,0.0005048672927385273,0.000307708017755376,0.00016409994736969941,7.779031830434402e-05,3.3188312043954195e-05,1.287217975352136e-05,4.576468379547688e-06
USA_1,0.0003288021653382081,0.0014027952451973564,0.002992429350220647,0.00425561437504595,0.004539017865475009,0.0038730357344239122,0.002753974215843347,0.0016785003883098728,0.0008951402286847234,0.0004243343427742348,0.00018103718927926142,7.021578076609155e-05,2.496393824312185e-05
USA_2,0.0008967828758951261,0.003826017243487749,0.008161623254042528,0.011606864249293527,0.012379825695348077,0.010563410130795935,0.007511255027425547,0.004577982033273117,0.0024414268311876743,0.0011573396174648816,0.0004937651523031516,0.00019150819686320386,6.808724117831609e-05
USA_3,0.001630604684271686,0.006956780517366783,0.014840137414553856,0.02110455911160474,0.02251002144655388,0.01920726466143314,0.01365758419534281,0.00832406499791343,0.0044392038856312386,0.002104370469438057,0.0008978045766897514,0.00034821601892193486,0.0001238018447817483
USA_4,0.0022236750732847164,0.009487044638100508,0.020237672546367477,0.028780539196169783,0.030697184960046545,0.026193176105518266,0.018625010604600322,0.011351626806180458,0.006053795331831704,0.0028697551300951567,0.001224346818773948,0.00047486634183256844,0.0001688300536133922
USA_5,0.0024259617940476444,0.010350076819658424,0.022078684510957885,0.03139869189560271,0.03348969406212875,0.02857595754890802,0.020319319438046043,0.012384279188506632,0.0066045063689605344,0.0031308154628901046,0.0013357250979217459,0.0005180647192592234,0.00018418844761707836
USA_6,0.0022055420389744595,0.009409682208673486,0.020072643754593077,0.028545847306611943,0.030446863717165224,0.025979582956626068,0.018473132319692786,0.011259059577799536,0.006004429451097507,0.0028463536139018827,0.0012143628408361608,0.0004709940280342594,0.0001674533231766688
USA_7,0.0017186994326900344,0.007332626260599656,0.015641887945899085,0.022244750136045103,0.02372614372030505,0.020244952805270007,0.014395446324218353,0.008773779400725108,0.004679035497336138,0.0022180608009281506,0.0009463092014312484,0.00036702867344087385,0.0001304903404514678
USA_8,0.0011719054666669388,0.004999794982402868,0.010665514658429968,0.015167715653614728,0.016177812711110327,0.013804141907335412,0.009815620998988531,0.005982453852880212,0.003190428281851771,0.0015123979961632647,0.0006452465772789428,0.0002502606916880544,8.897561750105289e-05
USA_9,0.000710285099784539,0.0030303467122468415,0.006464306515236526,0.00919306440064001,0.009805278363013509,0.008366610269323253,0.005949190902353927,0.003625930548762496,0.001933700059421722,0.0009166556451639661,0.00039108020447391586,0.00015168155232978082,5.392760521449767e-05
USA_10,0.0003874497078418218,0.0016530079945019582,0.00352618078499483,0.0050146766661436255,0.005348630061660792,0.004563858520274484,0.003245193060802578,0.0019778899095573366,0.0010548039418311445,0.0005000216983547458,0.00021332829734440793,8.273997744426121e-05,2.9416687596719085e-05
USA_11,0.00019213446973264718,0.0008197188126855471,0.0017486163019202073,0.0024867543390264596,0.0026523602415847937,0.002263195761876145,0.00160927582418496,0.0009808262111724126,0.000523072264435341,0.0002479583851110513,0.00010578848934367951,4.103036179971628e-05,1.4587595649946909e-05
USA_12,8.733868999321447e-05,0.0003726201100842024,0.0007948696416785637,0.0011304055259201019,0.0012056851079998558,0.0010287823591233023,0.000731529550723727,0.00044585480426290506,0.00023777329706187707,0.00011271460325972096,4.8088341922689094e-05,1.8651198062072356e-05,6.6310927757518905e-06
