,ITA_0,ITA_1,ITA_2,ITA_3,ITA_4,ITA_5,ITA_6,ITA_7,ITA_8,ITA_9,ITA_10,ITA_11,ITA_12
PUR_0,0.00028363562163903383,0.0013953783423853372,0.0034323628096261925,0.005628635665347324,0.0069226815193533355,0.006811386953102995,0.005584901372779459,0.003925081450278255,0.002413736688011514,0.0013194064033476057,0.0006490972852411336,0.00029030085363898595,0.0001190140603646678
PUR_1,0.00092181577032686,0.004534979612752346,0.011155179131285126,0.018293065912378805,0.022498714937898342,0.022137007597584735,0.018150929461533245,0.012756514713404332,0.007844644236037422,0.00428807081087972,0.0021095661770336844,0.0009434777743267045,0.00038679569618517033
PUR_2,0.0014979506267811474,0.0073693418707225615,0.01812716608833833,0.029726232107615554,0.0365604117740848,0.03597263734607519,0.029495260374991516,0.020729336409282036,0.012747546883560808,0.006968115067679543,0.0034280450376797367,0.0015331513832808946,0.0006285430063009017
PUR_3,0.0016227798456795765,0.007983453693282775,0.019637763262366523,0.03220341811658352,0.03960711275525853,0.0389703571249148,0.03195319873957415,0.02245678111005554,0.013809842457190876,0.007548791323319505,0.0037137154574863815,0.0016609139985543026,0.0006809215901593102
PUR_4,0.0013185086246146557,0.006486556125792254,0.015955682650672796,0.026165277219724104,0.032180779113647556,0.031663415163993264,0.025961973975903992,0.018246134651920126,0.011220496996467587,0.006133392950197098,0.0030173938092076845,0.0013494926238253706,0.0005532487920044395
PUR_5,0.0008570306059995263,0.004216261481764965,0.01037119372293732,0.01700743019282067,0.020917506423870913,0.020581219856595626,0.016875283084337597,0.011859987523748082,0.007293323047703931,0.003986705417628114,0.001961305975984995,0.000877170205486491,0.0003596117148028857
PUR_6,0.0004642249115830767,0.0022838083026226895,0.005617729933257713,0.009212358021111195,0.011330315979596745,0.011148160755655962,0.009140778337349529,0.006424159908696877,0.003950549984172963,0.0021594654345485614,0.0010623740703252058,0.00047513386130518254,0.00019478967885156308
PUR_7,0.00021553299466357134,0.0010603395690748202,0.002608231754726796,0.004277166224087341,0.005260503847669917,0.005175931779411697,0.00424393279948371,0.0029826456718949792,0.0018341839212231614,0.0010026089517546893,0.0004932451040795599,0.0002205978641774062,9.043806518108287e-05
PUR_8,8.756027908207586e-05,0.0004307629499366457,0.001059594150357761,0.001737598778535482,0.0021370796881159037,0.0021027222853860017,0.0017240976997902572,0.0012116998042073352,0.0007451372179969094,0.0004073098866503425,0.00020038082353232117,8.961788232207126e-05,3.674046397981491e-05
PUR_9,3.16189896685274e-05,0.00015555328747712208,0.00038263122096252484,0.0006274662255822575,0.000771723220708521,0.0007593163808338342,0.0006225908360353708,0.0004375582626304267,0.0002690773287211062,0.00014708412573484595,7.2359741831116e-05,3.2362013060747965e-05,1.326738977048872e-05
PUR_10,1.0276171642271405e-05,5.0554818430064684e-05,0.00012435514681282057,0.0002039265233142337,0.0002508100467302693,0.0002467778237709961,0.00020234202171149552,0.00014220643535488867,8.745013183435951e-05,4.780234086382493e-05,2.3516916095112698e-05,1.0517654244743089e-05,4.3119016754088344e-06
PUR_11,3.0361416215801876e-06,1.4936650899791836e-05,3.6741293376515165e-05,6.025101825193268e-05,7.410296835212502e-05,7.291162975052158e-05,5.9782870051123674e-05,4.2015537718489835e-05,2.5837538951060762e-05,1.4123418891584638e-05,6.948179755374206e-06,3.1074887541286397e-06,1.2739709495526102e-06
PUR_12,8.222883558446341e-07,4.045342952026955e-06,9.950766956139522e-06,1.6317984109898434e-05,2.0069553928700523e-05,1.974689972409959e-05,1.6191193972179323e-05,1.1379208132090995e-05,6.997666799245622e-06,3.825092616470839e-06,1.8817986837471804e-06,8.416115375765064e-07,3.450337988371652e-07
