game_id,game_date,away_team,home_team,p84b_model_id,p84b_model_version,p278_model_id,p278_model_version,p84b_home_win_probability,p278_home_win_probability,signed_probability_delta,absolute_probability_delta,p84b_predicted_side,p278_predicted_side,side_agreement,side_disagreement,p84b_confidence_distance_from_0_5,p278_confidence_distance_from_0_5,confidence_change,material_difference_bucket,abs_delta_ge_0_02,abs_delta_ge_0_05,abs_delta_ge_0_10,p84b_source_artifact_fingerprint,p278_source_artifact_fingerprint,comparison_version
mlb_2026_823244,2026-03-25,New York Yankees,San Francisco Giants,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.375545,0.458928,0.083383,0.083383,AWAY,AWAY,True,False,0.124455,0.041072,DECREASED,GE_0_05_LT_0_10,True,True,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_823081,2026-03-26,Tampa Bay Rays,St. Louis Cardinals,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.328954,0.540733,0.211779,0.211779,AWAY,HOME,False,True,0.171046,0.040733,DECREASED,GE_0_10,True,True,True,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_823163,2026-03-26,Cleveland Guardians,Seattle Mariners,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.601601,0.546594,-0.055007,0.055007,HOME,HOME,True,False,0.101601,0.046594,DECREASED,GE_0_05_LT_0_10,True,True,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_823325,2026-03-26,Detroit Tigers,San Diego Padres,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.629394,0.552384,-0.07701,0.07701,HOME,HOME,True,False,0.129394,0.052384,DECREASED,GE_0_05_LT_0_10,True,True,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_823486,2026-03-26,Texas Rangers,Philadelphia Phillies,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.7,0.620681,-0.079319,0.079319,HOME,HOME,True,False,0.2,0.120681,DECREASED,GE_0_05_LT_0_10,True,True,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_823649,2026-03-26,Pittsburgh Pirates,New York Mets,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.317367,0.603516,0.286149,0.286149,AWAY,HOME,False,True,0.182633,0.103516,DECREASED,GE_0_10,True,True,True,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_823812,2026-03-26,Chicago White Sox,Milwaukee Brewers,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.7,0.733982,0.033982,0.033982,HOME,HOME,True,False,0.2,0.233982,INCREASED,GE_0_02_LT_0_05,True,False,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_823974,2026-03-26,Arizona Diamondbacks,Los Angeles Dodgers,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.583802,0.60925,0.025448,0.025448,HOME,HOME,True,False,0.083802,0.10925,INCREASED,GE_0_02_LT_0_05,True,False,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_824218,2026-03-26,Los Angeles Angels,Houston Astros,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.7,0.620067,-0.079933,0.079933,HOME,HOME,True,False,0.2,0.120067,DECREASED,GE_0_05_LT_0_10,True,True,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
mlb_2026_824541,2026-03-26,Boston Red Sox,Cincinnati Reds,p84b_moneyline_diagnostic_baseline,p84b_diagnostic_baseline_v1,corrected_moneyline_shadow,p278a_corrected_moneyline_shadow_v1,0.434204,0.499984,0.06578,0.06578,AWAY,AWAY,True,False,0.065796,1.6e-05,DECREASED,GE_0_05_LT_0_10,True,True,False,5a7b3c9c943de81d918ee9ce5692df1517f69387cc3a25e0bab21bae5e45d59c,52f72dae5f89fa537dde425bdffc5de24c080f6b75eee6e6aca43b245563cddb,p279a.moneyline_shadow_divergence.v1
