check_id,check_category,check_name,status,file_path,expected,observed,notes
manifest.decisions_csv.path,manifest_hash,decisions_csv manifest path points to inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,report/p242a_paper_strategy_workflow_bundle/workflow/decisions.csv,report/p242a_paper_strategy_workflow_bundle/workflow/decisions.csv,
manifest.decisions_csv.sha256,manifest_hash,decisions_csv manifest SHA-256 matches inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/decisions.csv,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,
manifest.learning_summary_json.path,manifest_hash,learning_summary_json manifest path points to inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,report/p242a_paper_strategy_workflow_bundle/workflow/learning_summary.json,report/p242a_paper_strategy_workflow_bundle/workflow/learning_summary.json,
manifest.learning_summary_json.sha256,manifest_hash,learning_summary_json manifest SHA-256 matches inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/learning_summary.json,0235422880d4e3b168334b85d98e258d60645addd73480d1bcc1ae451534f58b,0235422880d4e3b168334b85d98e258d60645addd73480d1bcc1ae451534f58b,
manifest.learning_segments_csv.path,manifest_hash,learning_segments_csv manifest path points to inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,report/p242a_paper_strategy_workflow_bundle/workflow/learning_segments.csv,report/p242a_paper_strategy_workflow_bundle/workflow/learning_segments.csv,
manifest.learning_segments_csv.sha256,manifest_hash,learning_segments_csv manifest SHA-256 matches inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/learning_segments.csv,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,
manifest.workflow_summary_json.path,manifest_hash,workflow_summary_json manifest path points to inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,
manifest.workflow_summary_json.sha256,manifest_hash,workflow_summary_json manifest SHA-256 matches inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,99a11991ec9646241af9c0a32bdcd6943fa9d165fd1bcfd6bb244d3570344ff1,99a11991ec9646241af9c0a32bdcd6943fa9d165fd1bcfd6bb244d3570344ff1,
manifest.workflow_manifest_json.path,manifest_hash,workflow_manifest_json manifest path points to inspected file,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,
manifest.workflow_manifest_json.self_hash_marker,manifest_hash,workflow manifest self-hash is explicitly not embedded,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,"{""sha256"":null,""sha256_status"":""SELF_HASH_NOT_EMBEDDED""}","{""sha256"":null,""sha256_status"":""SELF_HASH_NOT_EMBEDDED""}",actual manifest file hash is reported in inspected_file_sha256
forbidden_fields.workflow_summary.json,forbidden_fields,workflow_summary.json has no forbidden field keys,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,no forbidden keys,[],
forbidden_fields.workflow_manifest.json,forbidden_fields,workflow_manifest.json has no forbidden field keys,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,no forbidden keys,[],
forbidden_fields.learning_summary.json,forbidden_fields,learning_summary.json has no forbidden field keys,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/learning_summary.json,no forbidden keys,[],
forbidden_fields.decisions.csv,forbidden_fields,decisions.csv has no forbidden columns,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/decisions.csv,no forbidden columns,[],
forbidden_fields.learning_segments.csv,forbidden_fields,learning_segments.csv has no forbidden columns,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/learning_segments.csv,no forbidden columns,[],
contract.result_only,labels_contracts,result-only contract is present,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,RESULT_ONLY workflow status and decision settlements,"{""decision_settlement_statuses"":[""RESULT_ONLY_NO_PRICE""],""manifest"":""RESULT_ONLY_PAPER_WORKFLOW"",""workflow_summary"":""RESULT_ONLY_PAPER_WORKFLOW""}",
contract.local_only,labels_contracts,"local-only contract has no DB, provider, sports API, live transport, or live output side effects",PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,"{""db_writes"":false,""live_output"":false,""live_transport"":false,""provider_calls"":false,""sports_api_calls"":false}","{""db_writes"":false,""live_output"":false,""live_transport"":false,""provider_calls"":false,""sports_api_calls"":false}",
contract.limitation_labels.workflow_summary.json,labels_contracts,workflow_summary.json has required limitation labels,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,"[""historical paper-only"",""odds provenance unverified"",""not true-PIT"",""not betting edge"",""not future prediction"",""not live"",""not production"",""not real betting"",""not multi-season validation""]","{""missing"":[],""present"":[""2025-only"",""historical paper-only"",""not betting edge"",""not future prediction"",""not live"",""not multi-season validation"",""not production"",""not real betting"",""not true-PIT"",""odds provenance unverified""]}",
contract.limitation_labels.workflow_manifest.json,labels_contracts,workflow_manifest.json has required limitation labels,PASS,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,"[""historical paper-only"",""odds provenance unverified"",""not true-PIT"",""not betting edge"",""not future prediction"",""not live"",""not production"",""not real betting"",""not multi-season validation""]","{""missing"":[],""present"":[""2025-only"",""historical paper-only"",""not betting edge"",""not future prediction"",""not live"",""not multi-season validation"",""not production"",""not real betting"",""not true-PIT"",""odds provenance unverified""]}",
