artifact_group,relative_path,file_type,size_bytes,sha256,detected_role,status,notes
p237_decisions,report/p237a_paper_strategy_decisions.csv,csv,4484,8dcd05ad6a8e75612c74f5695e5287bd1cfa0b7bc0e9691587c0d7001790c2f7,status,WARN,empty forbidden fields: pnl_units
p237_simulator_summary,report/p237a_paper_strategy_simulator_summary.json,json,2419,06a804d8a63103f9f9f8ff450aa94640d82f634a0919602964959e84443d6d65,status,PASS,sha256 recorded
p238_learning_segments,report/p238a_paper_strategy_learning_segments.csv,csv,2217,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,status,PASS,sha256 recorded
p238_learning_summary,report/p238a_paper_strategy_learning_summary.json,json,1336,9df7f4446f8182fcdcd69a6f806a2b47bff704e91c88c02125ac41acace6e9d5,status,PASS,sha256 recorded
p239_workflow,report/p239a_paper_strategy_workflow/decisions.csv,csv,4449,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,status,PASS,sha256 recorded
p239_workflow,report/p239a_paper_strategy_workflow/learning_segments.csv,csv,2217,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,status,PASS,sha256 recorded
p239_workflow,report/p239a_paper_strategy_workflow/learning_summary.json,json,1345,e67c66ee48e93fb636fbc306361ae70d5326e1db388c97453f3ce48818d3fae3,status,PASS,sha256 recorded
p239_workflow,report/p239a_paper_strategy_workflow/workflow_manifest.json,json,2150,4b13c0e186fdf219032253e1f576f9a56e37d9381148f36c7d4f653492caadcb,manifest,PASS,sha256 recorded
p239_workflow,report/p239a_paper_strategy_workflow/workflow_summary.json,json,1686,7721cb3fc3654de2d1f3031c27a72afe0b16a243b9f40a232cc23c34d3701939,status,PASS,sha256 recorded
p240_inspector,report/p240a_paper_strategy_workflow_inspector/inspection_checks.csv,csv,8650,40914d0f07ec0155a730f051ef0e4930cb937bc9043ca85fc9b5621d4c57bbb4,status,PASS,sha256 recorded
p240_inspector,report/p240a_paper_strategy_workflow_inspector/inspection_summary.json,json,1556,33101a798e6a0cfcadf55d3024aecb0656ea26ecc6cb7d8ec6148c68f5891076,status,PASS,sha256 recorded
p241_review_pack,report/p241a_paper_strategy_workflow_review_pack/review_artifacts.csv,csv,1339,bdec88d98abae140722f3abdeb9ea8e45b5b946e513df1927385e7678447be5b,status,PASS,sha256 recorded
p241_review_pack,report/p241a_paper_strategy_workflow_review_pack/review_report.md,md,2234,52096d5b91a0cc2660286507716833246689c2eee3e4bce4f879aaf37b071cf9,markdown_report,PASS,sha256 recorded
p241_review_pack,report/p241a_paper_strategy_workflow_review_pack/review_summary.json,json,2442,afe70214328fa50168d51118ace95d9f1563f3cb327018641661975826ec6574,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/bundle_manifest.json,json,4126,86e906fd5f8c10b19a26d3954b8aa52f0e92541dbba7eae35ffd399b0605c713,manifest,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/bundle_summary.json,json,2410,f9c31cb5e28f667336bbb3766ed1e938e62285f2f57134ae6b80e6186021a863,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/inspection/inspection_checks.csv,csv,9226,41f3d405059326af0974e64a4d00b5ce6a42e60d3777cf97ef89a4cd975329b1,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/inspection/inspection_summary.json,json,1732,0514919e600c216818c9ef0ed3a57b7f51ee350c8c6929677ac5bef9e44795fc,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/review/review_artifacts.csv,csv,1435,0229238cfd17552a35f311338bb532a83336663493261a6025656bb445e6f4f8,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/review/review_report.md,md,2330,ad22ad20c9c451b813136d8a016c4635f06da3acbacfa4cca8bb90d7e9be08a6,markdown_report,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/review/review_summary.json,json,2562,3c3003fb973a6d32d06877c9107023c3f89d001b2f45b2b67051f35a7860de22,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/decisions.csv,csv,4449,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/learning_segments.csv,csv,2217,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/learning_summary.json,json,1361,0235422880d4e3b168334b85d98e258d60645addd73480d1bcc1ae451534f58b,status,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,json,2246,3c19c58b8123df8a4e9a9b51eb9f7bc1a3c61562faefea67b63325b955f86a10,manifest,PASS,sha256 recorded
p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,json,1782,99a11991ec9646241af9c0a32bdcd6943fa9d165fd1bcfd6bb244d3570344ff1,status,PASS,sha256 recorded
