step_id,step_name,script_path,script_present,artifact_root_or_file,artifact_present,file_count,total_bytes,status,sha256_or_digest,notes
P237,paper strategy simulator,scripts/run_mlb_paper_strategy_simulator.py,True,report/p237a_paper_strategy_simulator_summary.json; report/p237a_paper_strategy_decisions.csv,True,2,6903,PASS,a966b3b1aeeb29bc1e7ce5552633c5c8ba600eaedd51a703fe8ebfbff02bc1f2,
P238,paper strategy learning,scripts/run_mlb_paper_strategy_learning.py,True,report/p238a_paper_strategy_learning_summary.json; report/p238a_paper_strategy_learning_segments.csv,True,2,3553,PASS,cb1a9aa19f116ef296e77d7fb5265a09db2b6f967205ff079282d8b91cbf68eb,
P239,paper strategy workflow,scripts/run_mlb_paper_strategy_workflow.py,True,report/p239a_paper_strategy_workflow,True,5,11847,PASS,69cbb7ace3c062cb861a8e9f2a4dbf3226521e259690e312b94067cd25982a4c,
P240,paper strategy workflow inspector,scripts/inspect_mlb_paper_strategy_workflow.py,True,report/p240a_paper_strategy_workflow_inspector,True,2,10206,PASS,d519c26c37aae160c247dcdcb5728f0f325fb6fc3c76dad18c4514e51882c7e9,
P241,paper strategy workflow review pack,scripts/build_mlb_paper_strategy_workflow_review_pack.py,True,report/p241a_paper_strategy_workflow_review_pack,True,3,6015,PASS,1647a5ff367cb7a9a8665676da24ac6ec83ff25a846d4d256a4a4f6d5fdd0c02,
P242,paper strategy workflow bundle,scripts/run_mlb_paper_strategy_workflow_bundle.py,True,report/p242a_paper_strategy_workflow_bundle,True,12,35876,PASS,b870719b20636ab6ccbe28278b7407511b936f737ed2bc335d2099611cedd0ba,
P243,paper artifact catalog,scripts/build_mlb_paper_artifact_catalog.py,True,report/p243a_paper_artifact_catalog,True,3,31274,PASS,ba761764f7ac14e2b563e1c6f11bac2f204a13440756229d78cb3c55d841ee3a,
P244,paper artifact catalog query,scripts/query_mlb_paper_artifact_catalog.py,True,report/p244a_paper_artifact_catalog_query,True,3,7812,PASS,7a275bd49696a19b089e0362bfe76442b8002299ee1a18c7fbf7521c94f4c480,
P245,paper artifact catalog diff,scripts/diff_mlb_paper_artifact_catalogs.py,True,report/p245a_paper_artifact_catalog_diff,True,3,10363,PASS,336a4979ee1494a5bcfd96689443815365380b8c8579e18f5453f8de2f56b251,
P246,paper artifact diff gate,scripts/check_mlb_paper_artifact_diff.py,True,report/p246a_paper_artifact_diff_gate,True,3,4489,PASS,79d15d9c9975150ff11efe88301271d81320aa29ff5ea6b5da96c1d77554fd8a,
