check_id,file_id,category,relative_path,path_safe,target_exists,expected_sha256,actual_sha256,hash_matches,status,notes
P253A-0001,dashboard_html,dashboard,report/p248a_paper_toolchain_dashboard/dashboard.html,True,True,03e7a9e5fb9a9d2ae4a0f362bc38d430b511e85a8d5bb2ccbf656c9bfc220cf0,03e7a9e5fb9a9d2ae4a0f362bc38d430b511e85a8d5bb2ccbf656c9bfc220cf0,True,PASS,
P253A-0002,dashboard_summary_json,dashboard,report/p248a_paper_toolchain_dashboard/dashboard_summary.json,True,True,5e35c86521fd48be1337ab5d256c29145c9ef39d774b134d1ebdbdff688e0386,5e35c86521fd48be1337ab5d256c29145c9ef39d774b134d1ebdbdff688e0386,True,PASS,
P253A-0003,dashboard_sections_csv,dashboard,report/p248a_paper_toolchain_dashboard/dashboard_sections.csv,True,True,8ebb2e375d3394f7681892933119e209df76592d179bbb502b8b95087e6fe1d3,8ebb2e375d3394f7681892933119e209df76592d179bbb502b8b95087e6fe1d3,True,PASS,
P253A-0004,index_html,index,report/p249a_paper_toolchain_index/index.html,True,True,9ca61da92ce069240efbf799c15376362e0db0580df813f48d7b6c0637b37cbd,9ca61da92ce069240efbf799c15376362e0db0580df813f48d7b6c0637b37cbd,True,PASS,
P253A-0005,index_summary_json,index,report/p249a_paper_toolchain_index/index_summary.json,True,True,0ff1d869e43072dd2aa92a6e78f4fca65df7c42badf35bb21104cf27d2d01352,0ff1d869e43072dd2aa92a6e78f4fca65df7c42badf35bb21104cf27d2d01352,True,PASS,
P253A-0006,index_links_csv,index,report/p249a_paper_toolchain_index/index_links.csv,True,True,426cced6b0cf8b0867b0bd57562755f9592baf465fb72ce439a8cf8eefeabc24,426cced6b0cf8b0867b0bd57562755f9592baf465fb72ce439a8cf8eefeabc24,True,PASS,
P253A-0007,cli_help_summary_json,cli_help,report/p250a_paper_toolchain_cli_help/cli_help_summary.json,True,True,ad7963fb0d398a5a771aa4f232ad673ac9c8c49ffa9903b1e0b5f560e4ac5c2a,ad7963fb0d398a5a771aa4f232ad673ac9c8c49ffa9903b1e0b5f560e4ac5c2a,True,PASS,
P253A-0008,cli_help_entries_csv,cli_help,report/p250a_paper_toolchain_cli_help/cli_help_entries.csv,True,True,b953909d896a905785f7931daf994020887d7fb2637a4ff65a5fb6aff3d3e279,b953909d896a905785f7931daf994020887d7fb2637a4ff65a5fb6aff3d3e279,True,PASS,
P253A-0009,cli_help_report_md,cli_help,report/p250a_paper_toolchain_cli_help/cli_help_report.md,True,True,5be500c4525ad68fe33f9cd7085af952e3012d206f2bd6061a31a86598df7000,5be500c4525ad68fe33f9cd7085af952e3012d206f2bd6061a31a86598df7000,True,PASS,
P253A-0010,quickstart_summary_json,quickstart,report/p251a_paper_toolchain_quickstart/quickstart_summary.json,True,True,e5573e47f422c332325196dcb4b818b28f86422f81612a4a266a7cbcbfe5f28a,e5573e47f422c332325196dcb4b818b28f86422f81612a4a266a7cbcbfe5f28a,True,PASS,
P253A-0011,quickstart_commands_csv,quickstart,report/p251a_paper_toolchain_quickstart/quickstart_commands.csv,True,True,82287676570cdb7cb5e67923af528c364a50e9b513fdf86081f9961ecdcb3c14,82287676570cdb7cb5e67923af528c364a50e9b513fdf86081f9961ecdcb3c14,True,PASS,
P253A-0012,quickstart_md,quickstart,report/p251a_paper_toolchain_quickstart/quickstart.md,True,True,7645421b4f0edf16b317b3b165190ae265057a97d31d102c52d25275a5c7f152,7645421b4f0edf16b317b3b165190ae265057a97d31d102c52d25275a5c7f152,True,PASS,
